,project,global_tags,operators,XP,cell_lines,coating,thawing,cell_number,seeding,culture,fixation,mesurement,plate_ref,comments,staining,measurement
192,EMT,[],,,,,,,,,,,,,,
193,EMT,[],,,,,,,,,,,,,,
194,EMT,[],,,,,,,,,,,,,,
195,EMT,[],,,,,,,,,,,,,,
196,EMT,[],,,,,,,,,,,,,,
197,EMT,[],,,,,,,,,,,,,,
198,EMT,[],,,,,,,,,,,,,,
199,EMT,[],,,,,,,,,,,,,,
200,EMT,[],,,,,,,,,,,,,,
201,EMT,[],,,,,,,,,,,,,,
202,EMT,[],,,,,,,,,,,,,,
203,EMT,[],,,,,,,,,,,,,,
204,EMT,[],,,,,,,,,,,,,,
205,EMT,[],,,,,,,,,,,,,,
206,EMT,[],,,,,,,,,,,,,,
207,EMT,[],,,,,,,,,,,,,,
208,EMT,[],,,,,,,,,,,,,,
209,EMT,[],,,,,,,,,,,,,,
210,MIG,[],,,,,,,,,,,,,,
211,MIG,[],,,,,,,,,,,,,,
212,MIG,[],,,,,,,,,,,,,,
213,MIG,[],,,,,,,,,,,,,,
214,MIG,[],,,,,,,,,,,,,,
215,MIG,[],,,,,,,,,,,,,,
216,MIG,[],,,,,,,,,,,,,,
217,MIG,[],,,,,,,,,,,,,,
218,MIG,[],,,,,,,,,,,,,,
219,MIG,[],,,,,,,,,,,,,,
220,MIG,[],,,,,,,,,,,,,,
221,MIG,[],,,,,,,,,,,,,,
222,MIG,[],,,,,,,,,,,,,,
223,MIG,[],,,,,,,,,,,,,,
224,MIG,[],,,,,,,,,,,,,,
225,MIG,[],,,,,,,,,,,,,,
226,MIG,[],,,,,,,,,,,,,,
227,MIG,[],,,,,,,,,,,,,,
228,PS,[],,,,,,,,,,,,,,
229,PS,[],,,,,,,,,,,,,,
230,PS,[],,,,,,,,,,,,,,
231,PS,[],,,,,,,,,,,,,,
232,PS,[],,,,,,,,,,,,,,
233,PS,[],,,,,,,,,,,,,,
234,PS,[],,,,,,,,,,,,,,
235,PS,[],,,,,,,,,,,,,,
236,PS,[],,,,,,,,,,,,,,
237,PS,[],,,,,,,,,,,,,,
238,PS,[],,,,,,,,,,,,,,
239,PS,[],,,,,,,,,,,,,,
240,PS,[],,,,,,,,,,,,,,
241,PS,[],,,,,,,,,,,,,,
242,PS,[],,,,,,,,,,,,,,
243,PS,[],,,,,,,,,,,,,,
244,PS,[],,,,,,,,,,,,,,
245,PS,[],,,,,,,,,,,,,,
246,PS,[],,,,,,,,,,,,,,
247,PS,[],,,,,,,,,,,,,,
248,PS,[],,,,,,,,,,,,,,
249,PS,[],,,,,,,,,,,,,,
250,PS,[],,,,,,,,,,,,,,
251,PS,[],,,,,,,,,,,,,,
252,PS,[],,,,,,,,,,,,,,
253,PS,[],,,,,,,,,,,,,,
254,PS,[],,,,,,,,,,,,,,
255,YokoCalibration,[],,,,,,,,,,,,,,
256,YokoCalibration,[],,,,,,,,,,,,,,
257,YokoCalibration,[],,,,,,,,,,,,,,
258,YokoCalibration,[],,,,,,,,,,,,,,
259,YokoCalibration,[],,,,,,,,,,,,,,
260,YokoCalibration,[],,,,,,,,,,,,,,
261,YokoCalibration,[],,,,,,,,,,,,,,
262,YokoCalibration,[],,,,,,,,,,,,,,
263,YokoCalibration,[],,,,,,,,,,,,,,
264,YokoCalibration,[],,,,,,,,,,,,,,
265,YokoCalibration,[],,,,,,,,,,,,,,
266,YokoCalibration,[],,,,,,,,,,,,,,
267,YokoCalibration,[],,,,,,,,,,,,,,
268,YokoCalibration,[],,,,,,,,,,,,,,
269,YokoCalibration,[],,,,,,,,,,,,,,
270,YokoCalibration,[],,,,,,,,,,,,,,
271,YokoCalibration,[],,,,,,,,,,,,,,
272,SMARCA2,[],,,,,,,,,,,,,,
273,SMARCA2,[],,,,,,,,,,,,,,
274,SMARCA2,[],,,,,,,,,,,,,,
275,SMARCA2,[],,,,,,,,,,,,,,
276,SMARCA2,[],,,,,,,,,,,,,,
277,SMARCA2,[],,,,,,,,,,,,,,
278,SMARCA2,[],,,,,,,,,,,,,,
279,SMARCA2,[],,,,,,,,,,,,,,
280,SMARCA2,[],,,,,,,,,,,,,,
281,SMARCA2,[],,,,,,,,,,,,,,
282,SMARCA2,[],,,,,,,,,,,,,,
283,SMARCA2,[],,,,,,,,,,,,,,
284,SMARCA2,[],,,,,,,,,,,,,,
285,SMARCA2,[],,,,,,,,,,,,,,
286,SMARCA2,[],,,,,,,,,,,,,,
287,SMARCA2,[],,,,,,,,,,,,,,
288,SMARCA2,[],,,,,,,,,,,,,,
289,SMARCA2,[],,,,,,,,,,,,,,
290,SMARCA2,[],,,,,,,,,,,,,,
291,SMARCA2,[],,,,,,,,,,,,,,
292,SMARCA2,[],,,,,,,,,,,,,,
293,SMARCA2,[],,,,,,,,,,,,,,
294,SMARCA2,[],,,,,,,,,,,,,,
295,SMARCA2,[],,,,,,,,,,,,,,
296,SMARCA2,[],,,,,,,,,,,,,,
297,SMARCA2,[],,,,,,,,,,,,,,
298,SMARCA2,[],,,,,,,,,,,,,,
299,SMARCA2,[],,,,,,,,,,,,,,
300,SMARCA2,[],,,,,,,,,,,,,,
301,SMARCA2,[],,,,,,,,,,,,,,
302,SMARCA2,[],,,,,,,,,,,,,,
303,SMARCA2,[],,,,,,,,,,,,,,
