Gene,Gene name,Cell line,TPM,pTPM,nTPM
ENSG00000077684,JADE1,U2OS,37.0,46.2,35.4
ENSG00000077713,SLC25A43,U2OS,5.9,7.3,5.6
ENSG00000077721,UBE2A,U2OS,38.1,47.5,36.7
ENSG00000077782,FGFR1,U2OS,32.1,40.1,30.7
ENSG00000077800,FKBP6,U2OS,0.0,0.0,0.0
ENSG00000077935,SMC1B,U2OS,0.0,0.0,0.0
ENSG00000077984,CST7,U2OS,1.0,1.2,0.9
ENSG00000078018,MAP2,U2OS,3.9,4.9,3.7
ENSG00000078043,PIAS2,U2OS,5.2,6.4,5.0
ENSG00000078070,MCCC1,U2OS,13.0,16.2,12.5
ENSG00000078098,FAP,U2OS,2.4,3.0,2.3
ENSG00000078124,ACER3,U2OS,6.6,8.3,6.3
ENSG00000078140,UBE2K,U2OS,105.7,131.8,101.8
ENSG00000078142,PIK3C3,U2OS,8.9,11.1,8.6
ENSG00000078177,N4BP2,U2OS,7.1,8.9,6.8
